RSI_Bengal
      hardpoint_thruster_main_small_lower_top_rightS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_small_lower_bottom_rightS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
    hardpoint_dashboard_copilot                   S4   SeatDashboard                                     RSI_Bengal_Dashboard_CoPilot                                     UNKNOWN                                 
    hardpoint_dashboard_captain                   S4   SeatDashboard                                                                                                      UNKNOWN                                 
    hardpoint_dashboard_bridge_top_033            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_032            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_031            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_030            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_029            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_028            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_027            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_026            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_025            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_024            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_023            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_022            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_021            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_020            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_019            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_018            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_017            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_016            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_015            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_014            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_013            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_012            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_011            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_010            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_009            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_008            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_007            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_006            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_005            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_004            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_003            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_002            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_top_001            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_030            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Left_Exit                           UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_029            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Right_Exit                          UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_028            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_027            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_026            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_025            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_024            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_023            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_022            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_021            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_020            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_019            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_018            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_017            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Large                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_016            S4   SeatDashboard                                     RSI_Bengal_Dashboard_CoPilot                                     UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_015            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Pilot                                       UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_014            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Right                               UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_013            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Left                                UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_012            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Right_Exit                          UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_011            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Right_Exit                          UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_010            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Right_Exit                          UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_009            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Left_Exit                           UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_008            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Left_Exit                           UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_007            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Left_Exit                           UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_006            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Right_Exit                          UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_005            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Left_Exit                           UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_004            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Right_Exit                          UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_003            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Left_Exit                           UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_002            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Right_Exit                          UNKNOWN                                 
    hardpoint_dashboard_bridge_mid_001            S4   SeatDashboard                                     RSI_Bengal_Dashboard_Generic_Left_Exit                           UNKNOWN                                 
    hardpoint_controller_flight                   S1   FlightController                                  Controller_Flight_RSI_Bengal                                     UNKNOWN                                 
    hardpoint_controller_energy                   S1   EnergyController                                  Controller_Energy                                                UNKNOWN                                 
    hardpoint_controller_cooler                   S1   CoolerController                                  Controller_Cooler                                                UNKNOWN                                 
    hardpoint_container_gameplay                  S1   Room                                                                                                               Rooms                                   
    hardpoint_container_bridge                    S0   Room                                                                                                               Rooms                                   
    hardpoint_AA_turret_radar_26                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_radar_25                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_radar_20                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_radar_19                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_controller_26             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_controller_25             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_controller_20             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_controller_19             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_26                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_25                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_20                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_19                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    Radar_Helper                                  S1   Display                                                                                                            UNKNOWN                                 
   hardpoint_AA_turret_09                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_10                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_11                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_12                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_13                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_14                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_15                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_16                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_27                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_28                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_37                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_38                         S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
    turret_left                                   S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    turret_right                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
   hardpoint_AA_turret_controller_07              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_08              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_09              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_10              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_11              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_12              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_13              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_14              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_15              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_16              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_21              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_22              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_27              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_28              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_33              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_34              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_35              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_36              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_37              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_controller_38              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AA_turret_radar_07                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_08                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_09                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_10                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_11                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_12                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_13                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_14                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_15                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_16                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_21                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_22                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_27                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_28                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_33                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_34                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_35                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_36                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_37                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AA_turret_radar_38                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_01                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_02                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_05                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_06                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_13                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_14                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_17                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_18                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_21                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_22                         S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
    turret_left                                   S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    turret_right                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
    hardpoint_aimodule                            S10  AIModule                                                                                                           UNKNOWN                                 
   hardpoint_AI_turret_controller_01              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_02              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_05              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_06              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_13              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_14              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_17              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_18              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_21              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_controller_22              S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_AI_turret_radar_01                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_02                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_05                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_06                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_13                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_14                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_17                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_18                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_21                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_AI_turret_radar_22                   S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
   hardpoint_avionics                             S1   Avionics.Motherboard                                                                                               Computers                               
   hardpoint_container_exteriorlights             S1   Room                                                                                                               Rooms                                   
   hardpoint_container_hangar                     S0   Room                                                                                                               Rooms                                   
   hardpoint_container_hangar_aux                 S0   Room                                                                                                               Rooms                                   
   hardpoint_controller_comms                     S1   CommsController                                   Controller_Comms                                                 UNKNOWN                                 
   hardpoint_controller_door                      S1   DoorController                                    Controller_Door                                                  UNKNOWN                                 
   hardpoint_controller_light                     S1   LightController                                   Controller_Light                                                 UNKNOWN                                 
   hardpoint_controller_weapon                    S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
   hardpoint_cooler_01                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
   hardpoint_cooler_02                            S5   Cooler                                            COOL_RSI_S04_Bengal_SCItem                                       Coolers                                 
